Index,data_point_name,99acres,Primary,Secondary,score
393708,Amenities - Count,42,27,Not Available,0
399106,Amenities - Count,35,11,Not Available,0
269167,Amenities - Count,30,9,Not Available,0
123483,Amenities - Count,58,17,Not Available,0
269936,Project Size - Tower Count,9,Not Available,Not found,0
397844,Project Size - Tower Count,6,8,Not Available,0
421711,Project Size - Tower Count,1,Not Available,Not found,0
422937,Project Size - Tower Count,3,2,Not found,0
401978,Project Size - Tower Count,Not Available,Not Available,Not found,0
6136,Project Size - Tower Count,10,Not Available,Not found,0
393708,Project Size - Unit Count,506,592,506,0
378409,Project Area,6.794 acres,27496 sq mt,27496.49 Sq. mtrs.,0
422426,Project Area,14.20625 acres,14.20625 (Acre),Not found,0
426159,Project Area,11.81 acres,47777 sq mt,8.7 Million Sq.Ft.,0
391580,Project Area,5.3073 acres,5.3073 (Acre),Not Available,0
